0.164622,0.569675,1.384697
0.172161,0.611496,1.398457
0.179321,0.653387,1.403420
0.186399,0.695294,1.403064
0.193547,0.737188,1.400197
0.200857,0.779055,1.395337
0.208414,0.820877,1.388445
0.216303,0.862639,1.379367
0.224615,0.904318,1.368297
0.233423,0.945895,1.355472
0.242820,0.987342,1.339866
0.252886,1.028632,1.323021
0.263707,1.069731,1.303046
0.275415,1.110586,1.280042
0.288079,1.151154,1.256039
0.301781,1.191383,1.228153
0.316685,1.231182,1.196561
0.332911,1.270460,1.161731
0.350527,1.309135,1.124912
0.369575,1.347125,1.087103
0.390059,1.384359,1.048585
0.412045,1.420726,1.005957
0.435514,1.456155,0.966149
0.460321,1.490661,0.928952
0.486356,1.524250,0.894708
0.513465,1.556979,0.863727
0.541526,1.588896,0.836129
0.570406,1.620075,0.811798
0.599989,1.650586,0.790282
0.630194,1.680484,0.770613
0.660958,1.709806,0.752473
0.692228,1.738588,0.735717
0.723966,1.766853,0.719439
0.756153,1.794606,0.703955
0.788751,1.821874,0.689369
0.821740,1.848669,0.675097
0.855102,1.874997,0.661279
0.888817,1.900873,0.647934
0.922870,1.926301,0.635042
0.957252,1.951283,0.621191
0.991984,1.975776,0.607169
1.027063,1.999769,0.592559
1.062501,2.023229,0.576774
1.098324,2.046097,0.559141
1.134577,2.068275,0.538569
1.171301,2.089665,0.515925
1.208525,2.110172,0.490860
1.246275,2.129693,0.463221
1.284579,2.148103,0.432349
1.323459,2.165262,0.398498
1.362922,2.181033,0.361439
1.402965,2.195265,0.321096
1.443571,2.207798,0.277050
1.484711,2.218450,0.229162
1.526333,2.227017,0.175993
1.568364,2.233276,0.119339
1.610687,2.237081,0.059611
1.653163,2.238287,-0.003232
1.694492,2.236616,-0.080749
1.721978,2.233419,-0.159921
1.733122,2.231275,-0.235954
1.731820,2.231718,-0.308081
1.721335,2.235497,-0.374513
1.705989,2.242093,-0.434741
1.688328,2.250877,-0.488123
1.670549,2.260849,-0.534232
1.654155,2.270988,-0.573780
1.640136,2.280370,-0.606487
1.629024,2.288288,-0.632717
1.621353,2.294024,-0.652580
1.616926,2.297450,-0.666232
1.616001,2.298178,-0.673844
1.619145,2.295661,-0.674849
1.625895,2.290284,-0.670121
